"Case","Method","Fact.","Cov.","Legal","Faith.","Hindi","Overall","H","O","WF","WL","T","LT"
"S1","Zero-shot","2","3","2","2","2","2.2","YES","YES","YES","YES","YES","YES"
"S1","Few-shot","2","4","2","2","2","2.4","YES","YES","YES","YES","YES","YES"
"S1","CoT","4","4","3","4","3","3.6","NO","YES","NO","NO*","YES","YES"
"S2","Zero-shot","3","3","1","2","2","2.2","NO","YES","YES","YES","YES","YES"
"S2","Few-shot","2","3","2","3","2","2.4","NO","YES","YES","NO","YES","YES"
"S2","CoT","3","3","1","3","3","2.6","NO","YES","YES","YES","YES","YES"
"S3","Zero-shot","1","2","1","1","3","1.6","YES","NO","YES","YES","YES","YES"
"S3","Few-shot","2","2","2","2","2","2.0","YES","YES","YES","NO","YES","YES"
"S3","CoT","2","1","1","2","2","1.6","NO","YES","YES","YES","YES","YES"
"S4","Zero-shot","2","2","2","2","3","2.2","YES","YES","YES","YES","YES","YES"
"S4","Few-shot","2","2","1","2","2","1.8","YES","YES","YES","YES","YES","YES"
"S4","CoT","2","3","2","2","2","2.2","YES","YES","YES","NO","YES","YES"
"S5","Zero-shot","2","2","2","2","2","2.0","YES","YES","YES","NO","YES","YES"
"S5","Few-shot","—","—","—","—","—","N/A – Gen. Failure","—","—","—","—","—","—"
"S5","CoT","2","2","1","2","2","1.8","YES","YES","YES","NO","YES","YES"
"S6","Zero-shot","3","2","2","3","2","2.4","NO","YES","NO","NO","YES","YES"
"S6","Few-shot","2","2","2","2","2","2.0","YES","YES","YES","NO","YES","YES"
"S6","CoT","2","1","1","2","2","1.6","NO","YES","NO","NO","YES","YES"
"S7","Zero-shot","4","4","4","4","3","3.8","NO","NO","NO","NO","NO","YES"
"S7","Few-shot","3","3","3","3","2","2.8","NO","YES","NO","NO","YES","YES"
"S7","CoT","4","4","3","4","3","3.6","NO","YES","NO","NO","YES","YES"
"S8","Zero-shot","2","2","1","2","3","2.0","YES","NO","YES","YES","YES","YES"
"S8","Few-shot","1","2","1","2","3","1.8","YES","YES","YES","YES","YES","YES"
"S8","CoT","1","2","1","2","2","1.6","NO","YES","YES","YES","YES","YES"
"S9","Zero-shot","1","1","1","1","3","1.4","YES","YES","YES","YES","YES","YES"
"S9","Few-shot","2","1","1","2","2","1.6","NO","YES","YES","NO","YES","YES"
"S9","CoT","2","1","1","2","2","1.6","NO","YES","YES","YES","YES","YES"
"S10","Zero-shot","3","2","2","3","2","2.4","NO","YES","NO","NO","YES","YES"
"S10","Few-shot","2","2","1","2","2","1.8","NO","YES","NO","YES","YES","YES"
"S10","CoT","2","2","1","2","2","1.8","NO","YES","YES","NO","YES","YES"
